ID_REF	MIRNA_ID	SN_ID	PLT_NAME	ORGANISM
1	hsa-let-7a		GPL15467	Homo Sapiens
2	hsa-let-7c		GPL15467	Homo Sapiens
3	hsa-let-7d		GPL15467	Homo Sapiens
4	hsa-let-7e		GPL15467	Homo Sapiens
5	hsa-let-7f		GPL15467	Homo Sapiens
6	hsa-let-7g		GPL15467	Homo Sapiens
7	hsa-miR-1		GPL15467	Homo Sapiens
8	hsa-miR-9		GPL15467	Homo Sapiens
9	hsa-miR-10a		GPL15467	Homo Sapiens
10	hsa-miR-10b		GPL15467	Homo Sapiens
11			GPL15467	Homo Sapiens
12			GPL15467	Homo Sapiens
13	hsa-miR-15a		GPL15467	Homo Sapiens
14	hsa-miR-15b		GPL15467	Homo Sapiens
15	hsa-miR-16		GPL15467	Homo Sapiens
16	hsa-miR-17		GPL15467	Homo Sapiens
17	hsa-miR-18a		GPL15467	Homo Sapiens
18	hsa-miR-18b		GPL15467	Homo Sapiens
19	hsa-miR-19a		GPL15467	Homo Sapiens
20	hsa-miR-19b		GPL15467	Homo Sapiens
21	hsa-miR-20a		GPL15467	Homo Sapiens
22	hsa-miR-20b		GPL15467	Homo Sapiens
23	hsa-miR-21		GPL15467	Homo Sapiens
24	hsa-miR-22		GPL15467	Homo Sapiens
25	hsa-miR-23a		GPL15467	Homo Sapiens
26	hsa-miR-23b		GPL15467	Homo Sapiens
27	hsa-miR-24		GPL15467	Homo Sapiens
28	hsa-miR-25		GPL15467	Homo Sapiens
29	hsa-miR-26a		GPL15467	Homo Sapiens
30	hsa-miR-26b		GPL15467	Homo Sapiens
31	hsa-miR-27a		GPL15467	Homo Sapiens
32	hsa-miR-27b		GPL15467	Homo Sapiens
33	hsa-miR-28-3p		GPL15467	Homo Sapiens
34	hsa-miR-28-5p		GPL15467	Homo Sapiens
35			GPL15467	Homo Sapiens
36			GPL15467	Homo Sapiens
37	hsa-miR-29a		GPL15467	Homo Sapiens
38	hsa-miR-29b		GPL15467	Homo Sapiens
39	hsa-miR-29c		GPL15467	Homo Sapiens
40	hsa-miR-30b		GPL15467	Homo Sapiens
41	hsa-miR-30c		GPL15467	Homo Sapiens
42	hsa-miR-31		GPL15467	Homo Sapiens
43	hsa-miR-32		GPL15467	Homo Sapiens
44	hsa-miR-33b		GPL15467	Homo Sapiens
45	hsa-miR-34a		GPL15467	Homo Sapiens
46	hsa-miR-34c-5p		GPL15467	Homo Sapiens
47	hsa-miR-92a		GPL15467	Homo Sapiens
48	hsa-miR-93		GPL15467	Homo Sapiens
49	hsa-miR-95		GPL15467	Homo Sapiens
50	hsa-miR-96		GPL15467	Homo Sapiens
51	hsa-miR-98		GPL15467	Homo Sapiens
52	hsa-miR-99a		GPL15467	Homo Sapiens
53	hsa-miR-99b		GPL15467	Homo Sapiens
54	hsa-miR-100		GPL15467	Homo Sapiens
55	hsa-miR-101		GPL15467	Homo Sapiens
56	hsa-miR-103		GPL15467	Homo Sapiens
57	hsa-miR-105		GPL15467	Homo Sapiens
58	hsa-miR-106a		GPL15467	Homo Sapiens
59			GPL15467	Homo Sapiens
60	hsa-miR-106b		GPL15467	Homo Sapiens
61	hsa-miR-107		GPL15467	Homo Sapiens
62	hsa-miR-122		GPL15467	Homo Sapiens
63	hsa-miR-124		GPL15467	Homo Sapiens
64	hsa-miR-125a-3p		GPL15467	Homo Sapiens
65	hsa-miR-125a-5p		GPL15467	Homo Sapiens
66	hsa-miR-125b		GPL15467	Homo Sapiens
67	hsa-miR-126		GPL15467	Homo Sapiens
68	hsa-miR-127-3p		GPL15467	Homo Sapiens
69	hsa-miR-127-5p		GPL15467	Homo Sapiens
70	hsa-miR-128		GPL15467	Homo Sapiens
71	hsa-miR-129-3p		GPL15467	Homo Sapiens
72	hsa-miR-129-5p		GPL15467	Homo Sapiens
73	hsa-miR-130a		GPL15467	Homo Sapiens
74	hsa-miR-130b		GPL15467	Homo Sapiens
75	hsa-miR-132		GPL15467	Homo Sapiens
76	hsa-miR-133a		GPL15467	Homo Sapiens
77	hsa-miR-133b		GPL15467	Homo Sapiens
78	hsa-miR-134		GPL15467	Homo Sapiens
79	hsa-miR-135a		GPL15467	Homo Sapiens
80	hsa-miR-135b		GPL15467	Homo Sapiens
81	hsa-miR-136		GPL15467	Homo Sapiens
82	hsa-miR-137		GPL15467	Homo Sapiens
83	hsa-miR-138		GPL15467	Homo Sapiens
84	hsa-miR-139-3p		GPL15467	Homo Sapiens
85	hsa-miR-139-5p		GPL15467	Homo Sapiens
86	hsa-miR-140-3p		GPL15467	Homo Sapiens
87	hsa-miR-140-5p		GPL15467	Homo Sapiens
88	hsa-miR-141		GPL15467	Homo Sapiens
89	hsa-miR-142-3p		GPL15467	Homo Sapiens
90	hsa-miR-142-5p		GPL15467	Homo Sapiens
91	hsa-miR-143		GPL15467	Homo Sapiens
92	hsa-miR-145		GPL15467	Homo Sapiens
93	hsa-miR-146a		GPL15467	Homo Sapiens
94	hsa-miR-146b-3p		GPL15467	Homo Sapiens
95	hsa-miR-146b-5p		GPL15467	Homo Sapiens
96	hsa-miR-147b		GPL15467	Homo Sapiens
97	hsa-miR-148a		GPL15467	Homo Sapiens
98	hsa-miR-148b		GPL15467	Homo Sapiens
99	hsa-miR-149		GPL15467	Homo Sapiens
100	hsa-miR-150		GPL15467	Homo Sapiens
101	hsa-miR-152		GPL15467	Homo Sapiens
102	hsa-miR-153		GPL15467	Homo Sapiens
103	hsa-miR-154		GPL15467	Homo Sapiens
104	hsa-miR-181a		GPL15467	Homo Sapiens
105	hsa-miR-181c		GPL15467	Homo Sapiens
106	hsa-miR-182		GPL15467	Homo Sapiens
107			GPL15467	Homo Sapiens
108	hsa-miR-183		GPL15467	Homo Sapiens
109	hsa-miR-184		GPL15467	Homo Sapiens
110	hsa-miR-185		GPL15467	Homo Sapiens
111	hsa-miR-186		GPL15467	Homo Sapiens
112	hsa-miR-187		GPL15467	Homo Sapiens
113	hsa-miR-188-3p		GPL15467	Homo Sapiens
114	hsa-miR-190		GPL15467	Homo Sapiens
115	hsa-miR-191		GPL15467	Homo Sapiens
116	hsa-miR-192		GPL15467	Homo Sapiens
117	hsa-miR-193a-3p		GPL15467	Homo Sapiens
118	hsa-miR-193a-5p		GPL15467	Homo Sapiens
119	hsa-miR-193b		GPL15467	Homo Sapiens
