ID_REF	GSM918942	GSM918943	GSM918944	GSM918945	GSM918946	GSM918947	GSM918948	GSM918949
1	0.002908561	0.004549935	0.021626957	0.015697885	0.005178485	0.00498247	0.005311656	0.010319512
2	0.01039278	0.010017933	0.038167632	0.040012373	0.010484615	0.010744884	0.011629359	0.023468306
3	0.006034899	0.010552801	0.035375773	0.027333613	0.007408354	0.00969822	0.0095548	0.015315651
4	0.036536225	0.039545045	0.206723241	0.134982567	0.048466602	0.047407718	0.043124256	0.078006573
5	3.20908E-05	1.93053E-05	0.001098035	0.000497471	0.000586331	7.69788E-05	0.000127144	0.000261056
6	0.006075675	0.00895889	0.028602092	0.023190761	0.018137177	0.013841026	0.014897999	0.020824166
7	5.70715E-05	6.45911E-06	0.000586506	4.5612E-05	1.59395E-06	2.31665E-05	2.286E-05	9.13194E-06
8	7.7104E-07	3.34457E-07	7.83633E-08	2.80534E-08	4.06814E-07	0	1.08722E-07	4.79906E-08
9	0.000920279	0.002875626	0.005763391	0.00498025	0.001201598	0.001829219	0.00196393	0.002793297
10	0.006736899	0.010651399	0.032586777	0.053827342	0.016698077	0.015633599	0.014485591	0.022627759
11	0.957733967	0.948333069	1.054862165	1.021972234	0.875284999	0.889614834	0.956536798	0.973672499
12	1.038972432	0.974284318	1.139675023	1.059042877	0.985149616	1.165284115	1.060229711	1.01293142
13	5.36031E-05	0.000323207	3.173992018	0.00022277	0.000122474	5.13755E-05	2.3459E-05	0.000111043
14	0.000643152	0.00262371	0.003362359	0.001765081	0.000809131	0.000355015	0.000711031	0.002270616
15	0.417943658	0.259460666	0.118131408	0.26328806	0.188680698	0.161972383	0.106298222	0.155364253
16	0.26090968	0.189922633	0.163313108	0.107308332	0.098952759	0.076575078	0.08597228	0.094045551
17	0.000588041	0.000416422	0.002102746	0.000581935	0.000316523	0.000205043	0.000335037	0.000887929
18	2.37266E-06	4.93343E-07	7.99222E-06	9.2094E-07	1.56846E-06	3.06655E-07	3.44899E-07	8.28317E-07
19	0.005854458	0.002900308	0.0088699	0.005427946	0.006149419	0.003972618	0.004582947	0.005974201
20	0.254577245	0.13122766	0.211609676	0.207935646	0.114922545	0.085564297	0.104909074	0.133004826
21	0.049515684	0.035827166	0.069854773	0.043951067	0.027865884	0.020417128	0.02882382	0.051626568
22	0.015598676	0.012073701	0.009126013	0.006067736	0.003047151	0.002481305	0.003698568	0.004043565
23	0.130580047	0.125824585	0.445967196	0.203545608	0.137232467	0.074597793	0.14367066	0.30512462
24	0.014258197	0.007670422	0.006203674	0.005117646	0.002155463	0.001348181	0.00240486	0.003288373
25	0.000186731	5.77929E-05	8.13416E-06	5.17043E-05	1.55561E-05	1.75903E-05	7.92706E-06	2.5232E-05
26	9.55939E-05	0.00018701	0.000263433	0.001483656	0.00040446	0.000144804	0.000157008	8.64653E-05
27	1.07236748	1.09484812	1.080485342	1.124804288	0.705834449	0.684297105	0.492272951	0.804215752
28	0.007724335	0.005942212	0.008179773	0.005364881	0.003466645	0.002140793	0.003241478	0.006701109
29	0.03601971	0.037571402	0.140793975	0.140471173	0.053745499	0.056080373	0.063576719	0.109794105
30	0.005133357	0.005799988	0.012618887	0.023980142	0.011243662	0.007839404	0.005868621	0.013317698
31	0.037735478	0.028919567	0.082473789	0.057797985	0.024235552	0.019104029	0.021515026	0.045173218
32	0.005488438	0.005335443	0.013379273	0.011682202	0.00421042	0.004575543	0.003494172	0.007824111
33	0.020514465	0.024639995	0.029957426	0.024604261	0.016928756	0.014208182	0.014075416	0.017233762
34	0.003149105	0.006751383	0.012228705	0.006050168	0.002831324	0.001962675	0.003426946	0.006897123
35	1.063719212	1.021022565	0.933506194	0.959411741	1.295228602	1.027810111	1.078038256	0.992079404
36	0.944765623	1.060029746	0.891058157	0.963035576	0.895368675	0.938541049	0.914669453	1.022022884
37	3.021536511	1.978660027	0.675248062	1.113497254	0.28834117	0.308123527	0.981773666	0.568586401
38	0.000124775	9.20079E-05	0.001357899	0.001688987	0.000301325	0.000312615	0.000413047	0.000999626
39	0.018750013	0.011223479	0.00749749	0.010758584	0.003398083	0.002960683	0.004415772	0.006993118
40	0.021153825	0.034529033	0.131771155	0.111038816	0.044919066	0.05334433	0.039982912	0.081946634
41	0.035723454	0.055822547	0.219873021	0.217924303	0.073006754	0.068670713	0.091194294	0.138740847
42	0.004740239	0.014574849	0.016607578	0.006458608	0.084733822	0.0340195	0.045732017	0.056659454
43	3.85905E-06	5.26725E-08	0.000103179	0.000148775	5.86857E-05	3.46566E-05	6.1887E-05	4.87869E-05
44	0	0	0	0	0	0	0	0
45	0.011677396	0.012894564	0.020490173	0.016483461	0.039512796	0.032955201	0.024882606	0.04311105
46	1.82806E-05	9.41304E-06	8.10992E-05	9.05639E-05	2.28422E-05	8.46741E-06	9.11793E-06	4.92521E-05
47	0.014435305	0.01247917	0.020755788	0.012421076	0.007663928	0.005094096	0.004909461	0.008178492
48	0.034096781	0.034429207	0.037859115	0.017811416	0.007922392	0.005749988	0.01012935	0.02035979
49	0.001820595	0.001269735	0.002064226	0.001273404	0.000594806	0.000774463	0.000950596	0.000643864
50	0	1.96237E-07	0	8.92468E-07	3.08605E-07	3.7308E-07	4.87753E-06	1.70642E-06
51	0	0	2.60526E-06	3.59563E-06	2.46691E-05	0	0	1.8956E-05
52	0.027799474	0.029934806	0.044567211	0.046290181	0.015764724	0.017592322	0.0107383	0.028051593
53	0.002542688	0.002679387	0.00842715	0.003905868	0.002118788	0.001352811	0.00200402	0.004267401
54	0.028476416	0.034933179	0.042016695	0.031714447	0.020217392	0.015122157	0.010700377	0.023311465
55	0.000263748	0.000119463	0.001428081	0.002062131	0.000720604	0.000674727	0.000459557	0.000823558
56	0.000825393	0.001279567	0.002871166	0.001543728	0.001174079	0.000743625	0.000672856	0.001518665
57	0	0	0	0	0	0	0	0
58	0.270714745	0.205686035	0.182968284	0.132485098	0.109893941	0.090038994	0.087844841	0.119849559
59	0.02552494	0.040652412	0.110270172	0.068278823	0.099614444	0.034773419	0.086604294	0.132520596
60	0.00408392	0.003947363	0.015686491	0.009118625	0.004722717	0.004262238	0.004998155	0.011362779
61	2.70957E-07	2.88179E-06	4.15232E-05	1.1814E-05	1.92568E-05	1.15321E-06	3.49292E-06	1.03201E-05
62	1.21778E-05	3.17238E-06	1.87234E-07	6.60051E-07	0	0	0	0
63	4.43353E-05	6.25225E-06	4.6946E-06	0	0	1.4102E-07	0	1.03832E-06
64	0.000205643	0.000174382	4.30707E-05	5.68002E-05	3.0142E-05	3.78143E-05	1.09144E-05	2.84675E-05
65	0.008690834	0.00824174	0.020440616	0.017406995	0.014044993	0.009345715	0.007758951	0.014327975
66	0.051380558	0.042796652	0.117583253	0.088773384	0.038713478	0.030721527	0.026270189	0.075196457
67	0.904298123	0.927901615	1.016084581	1.390589884	0.657043025	0.722896369	0.529159068	0.526889743
68	0.006970884	0.018287628	0.03314717	0.016416461	0.010061936	0.007057846	0.004765035	0.02029772
69	7.62697E-08	0	7.48293E-06	9.03178E-06	1.48116E-06	4.76602E-07	0	3.07243E-08
70	0.000159455	0.000185533	0.001416639	0.000458194	0.000276711	0.000162393	0.000121955	0.000248152
71	0	0.000666523	0	0.000862352	0	1.46623E-05	0	0
72	0	1.18699E-05	0	4.67849E-07	0	0	0	0
73	0.000736858	0.000599604	0.001579714	0.0009234	0.000343155	0.00064501	0.000536499	0.00091003
74	0.000567645	0.000729529	0.001191439	0.000283744	0.000205994	8.67556E-05	0.0001122	0.000138008
75	0.040253621	0.088249306	0.040406816	0.036843246	0.018213371	0.020376764	0.01910556	0.024000753
76	0.009799517	0.003443331	0.014605834	0.001942636	0.00057775	0.003973103	0.000863925	0.000611382
77	5.01654E-06	2.03297E-07	4.71223E-07	2.1592E-08	0	3.82422E-07	0	0
78	0.00038451	0.001140264	0.000248888	0.000264393	0.000134775	0.000287962	5.29075E-05	8.59752E-05
79	3.92004E-06	1.49666E-06	1.16631E-05	7.39525E-06	8.22567E-06	6.40884E-06	4.677E-06	1.84294E-05
80	7.61536E-07	1.41954E-06	4.00621E-06	0	6.98309E-05	5.88878E-05	9.89519E-05	0.000145093
81	0	5.80582E-08	0	3.59712E-08	2.08123E-08	3.87574E-08	0	0
82	2.58422E-05	3.29714E-05	2.95737E-06	1.16347E-06	7.44704E-06	2.00473E-05	5.37398E-07	1.10804E-05
