ID	Detector	miRNA_ID	SPOT_ID
1	hsa-let-7a-4373169	hsa-let-7a	
2	hsa-let-7c-4373167	hsa-let-7c	
3	hsa-let-7d-4395394	hsa-let-7d	
4	hsa-let-7e-4395517	hsa-let-7e	
5	hsa-let-7f-4373164	hsa-let-7f	
6	hsa-let-7g-4395393	hsa-let-7g	
7	hsa-miR-1-4395333	hsa-miR-1	
8	hsa-miR-9-4373285	hsa-miR-9	
9	hsa-miR-10a-4373153	hsa-miR-10a	
10	hsa-miR-10b-4395329	hsa-miR-10b	
11	MammU6-4395470		MammU6
12	MammU6-4395470		MammU6
13	hsa-miR-15a-4373123	hsa-miR-15a	
14	hsa-miR-15b-4373122	hsa-miR-15b	
15	hsa-miR-16-4373121	hsa-miR-16	
16	hsa-miR-17-4395419	hsa-miR-17	
17	hsa-miR-18a-4395533	hsa-miR-18a	
18	hsa-miR-18b-4395328	hsa-miR-18b	
19	hsa-miR-19a-4373099	hsa-miR-19a	
20	hsa-miR-19b-4373098	hsa-miR-19b	
21	hsa-miR-20a-4373286	hsa-miR-20a	
22	hsa-miR-20b-4373263	hsa-miR-20b	
23	hsa-miR-21-4373090	hsa-miR-21	
24	hsa-miR-22-4373079	hsa-miR-22	
25	hsa-miR-23a-4373074	hsa-miR-23a	
26	hsa-miR-23b-4373073	hsa-miR-23b	
27	hsa-miR-24-4373072	hsa-miR-24	
28	hsa-miR-25-4373071	hsa-miR-25	
29	hsa-miR-26a-4395166	hsa-miR-26a	
30	hsa-miR-26b-4395167	hsa-miR-26b	
31	hsa-miR-27a-4373287	hsa-miR-27a	
32	hsa-miR-27b-4373068	hsa-miR-27b	
33	hsa-miR-28-3p-4395557	hsa-miR-28-3p	
34	hsa-miR-28-5p-4373067	hsa-miR-28-5p	
35	MammU6-4395470		MammU6
36	MammU6-4395470		MammU6
37	hsa-miR-29a-4395223	hsa-miR-29a	
38	hsa-miR-29b-4373288	hsa-miR-29b	
39	hsa-miR-29c-4395171	hsa-miR-29c	
40	hsa-miR-30b-4373290	hsa-miR-30b	
41	hsa-miR-30c-4373060	hsa-miR-30c	
42	hsa-miR-31-4395390	hsa-miR-31	
43	hsa-miR-32-4395220	hsa-miR-32	
44	hsa-miR-33b-4395196	hsa-miR-33b	
45	hsa-miR-34a-4395168	hsa-miR-34a	
