ID_REF	miRNA_ID	SN_ID	Organism
1	mmu-let-7b		Mus musculus
2	mmu-let-7c		Mus musculus
3	mmu-let-7d		Mus musculus
4	mmu-let-7e		Mus musculus
5	mmu-let-7g		Mus musculus
6	mmu-let-7i		Mus musculus
7	mmu-miR-1		Mus musculus
8	rno-miR-1		Mus musculus
9	mmu-miR-7a		Mus musculus
10	mmu-miR-7b		Mus musculus
11			Mus musculus
12			Mus musculus
13	mmu-miR-9		Mus musculus
14	mmu-miR-10a		Mus musculus
15	mmu-miR-10b		Mus musculus
16	mmu-miR-15a		Mus musculus
17	mmu-miR-15b		Mus musculus
18	mmu-miR-16		Mus musculus
19	rno-miR-17-3p		Mus musculus
20	mmu-miR-18a		Mus musculus
21	mmu-miR-18b		Mus musculus
22	mmu-miR-19a		Mus musculus
23	mmu-miR-19b		Mus musculus
24	mmu-miR-20a		Mus musculus
25	mmu-miR-20b		Mus musculus
26	rno-miR-20b-3p		Mus musculus
27	mmu-miR-21		Mus musculus
28	mmu-miR-23b		Mus musculus
29	mmu-miR-24		Mus musculus
30	mmu-miR-25		Mus musculus
31	mmu-miR-26a		Mus musculus
32	mmu-miR-26b		Mus musculus
33	mmu-miR-27a		Mus musculus
34	mmu-miR-27b		Mus musculus
35			Mus musculus
36			Mus musculus
37	mmu-miR-28		Mus musculus
38	mmu-miR-29b		Mus musculus
39	mmu-miR-29c		Mus musculus
40	mmu-miR-30b		Mus musculus
41	mmu-miR-30c		Mus musculus
42	mmu-miR-30d		Mus musculus
43	mmu-miR-32		Mus musculus
44	mmu-miR-34a		Mus musculus
45	mmu-miR-34c		Mus musculus
46	mmu-miR-93		Mus musculus
47	mmu-miR-96		Mus musculus
48	mmu-miR-98		Mus musculus
49	mmu-miR-99a		Mus musculus
50	mmu-miR-99b		Mus musculus
51	mmu-miR-100		Mus musculus
52	mmu-miR-101a		Mus musculus
53	mmu-miR-103		Mus musculus
54	mmu-miR-105		Mus musculus
55	mmu-miR-107		Mus musculus
56	mmu-miR-122		Mus musculus
57	mmu-miR-124		Mus musculus
58	mmu-miR-125a-3p		Mus musculus
59	mmu-miR-125a-5p		Mus musculus
60	mmu-miR-125b-5p		Mus musculus
61	mmu-miR-126-3p		Mus musculus
62	mmu-miR-126-5p		Mus musculus
63	mmu-miR-127		Mus musculus
64	mmu-miR-128a		Mus musculus
65	mmu-miR-129-3p		Mus musculus
66	mmu-miR-130a		Mus musculus
67	mmu-miR-130b		Mus musculus
68	mmu-miR-132		Mus musculus
69	mmu-miR-133a		Mus musculus
70	mmu-miR-133b		Mus musculus
71	mmu-miR-134		Mus musculus
72	mmu-miR-135a		Mus musculus
73	mmu-miR-135b		Mus musculus
74	mmu-miR-136		Mus musculus
75	mmu-miR-137		Mus musculus
76	mmu-miR-138		Mus musculus
77	mmu-miR-139-3p		Mus musculus
78	mmu-miR-139-5p		Mus musculus
79	mmu-miR-140		Mus musculus
80	mmu-miR-141		Mus musculus
81	mmu-miR-142-3p		Mus musculus
82	mmu-miR-142-5p		Mus musculus
83			Mus musculus
84	mmu-miR-145		Mus musculus
85	mmu-miR-146a		Mus musculus
86	mmu-miR-146b		Mus musculus
87	mmu-miR-147		Mus musculus
88	mmu-miR-148a		Mus musculus
89	mmu-miR-148b		Mus musculus
90	mmu-miR-150		Mus musculus
91	mmu-miR-151-3p		Mus musculus
92	mmu-miR-152		Mus musculus
93	mmu-miR-153		Mus musculus
94	mmu-miR-154		Mus musculus
95	mmu-miR-181a		Mus musculus
96	mmu-miR-181c		Mus musculus
97	mmu-miR-182		Mus musculus
98	mmu-miR-183		Mus musculus
99	mmu-miR-184		Mus musculus
100	mmu-miR-185		Mus musculus
101	mmu-miR-186		Mus musculus
102	mmu-miR-190		Mus musculus
103	mmu-miR-191		Mus musculus
104	mmu-miR-192		Mus musculus
105	mmu-miR-193		Mus musculus
106	mmu-miR-193b		Mus musculus
107	mmu-miR-194		Mus musculus
108	mmu-miR-195		Mus musculus
109	mmu-miR-196b		Mus musculus
110	rno-miR-196c		Mus musculus
111	mmu-miR-197		Mus musculus
112	mmu-miR-199a-3p		Mus musculus
113	mmu-miR-199a-5p		Mus musculus
114	mmu-miR-200a		Mus musculus
115	mmu-miR-200b		Mus musculus
116	mmu-miR-200c		Mus musculus
117	mmu-miR-201		Mus musculus
118	mmu-miR-202-3p		Mus musculus
119	mmu-miR-202-5p		Mus musculus
120	mmu-miR-203		Mus musculus
121	mmu-miR-204		Mus musculus
122	mmu-miR-205		Mus musculus
123	mmu-miR-207		Mus musculus
124	rno-miR-207		Mus musculus
125	mmu-miR-208		Mus musculus
126	mmu-miR-208b		Mus musculus
127	mmu-miR-210		Mus musculus
128	mmu-miR-211		Mus musculus
129	mmu-miR-214		Mus musculus
130	mmu-miR-215		Mus musculus
131			Mus musculus
132	mmu-miR-216a		Mus musculus
133	mmu-miR-216b		Mus musculus
134	mmu-miR-217		Mus musculus
135	mmu-miR-218		Mus musculus
136	mmu-miR-219		Mus musculus
137	mmu-miR-220		Mus musculus
138	mmu-miR-221		Mus musculus
139	mmu-miR-222		Mus musculus
140	mmu-miR-223		Mus musculus
141	mmu-miR-224		Mus musculus
142	mmu-miR-290-3p		Mus musculus
143	mmu-miR-291a-3p		Mus musculus
144	mmu-miR-291b-5p		Mus musculus
145	mmu-miR-292-3p		Mus musculus
146	mmu-miR-293		Mus musculus
147	mmu-miR-294		Mus musculus
148	mmu-miR-295		Mus musculus
149	mmu-miR-296-3p		Mus musculus
150	mmu-miR-296-5p		Mus musculus
151	mmu-miR-297c		Mus musculus
152	mmu-miR-297b-5p		Mus musculus
153	mmu-miR-298		Mus musculus
154	mmu-miR-301a		Mus musculus
155	mmu-miR-301b		Mus musculus
156	mmu-miR-302a		Mus musculus
157	mmu-miR-302c		Mus musculus
158	mmu-miR-302d		Mus musculus
159	mmu-miR-320		Mus musculus
160	mmu-miR-323-3p		Mus musculus
161	mmu-miR-324-5p		Mus musculus
162	mmu-miR-325		Mus musculus
163	rno-miR-327		Mus musculus
164	mmu-miR-328		Mus musculus
165	mmu-miR-329		Mus musculus
166	mmu-miR-330		Mus musculus
167	mmu-miR-331-3p		Mus musculus
168	mmu-miR-331-5p		Mus musculus
169	rno-miR-333		Mus musculus
170	mmu-miR-335-3p		Mus musculus
171	mmu-miR-335-5p		Mus musculus
172	rno-miR-336		Mus musculus
173	mmu-miR-337-3p		Mus musculus
174	mmu-miR-337-5p		Mus musculus
175	mmu-miR-338-3p		Mus musculus
176	mmu-miR-339-3p		Mus musculus
177	rno-miR-339-3p		Mus musculus
178	mmu-miR-339-5p		Mus musculus
179			Mus musculus
180	mmu-miR-340-3p		Mus musculus
181	mmu-miR-340-5p		Mus musculus
182	mmu-miR-342-3p		Mus musculus
183	mmu-miR-342-5p		Mus musculus
184	rno-miR-343		Mus musculus
185	mmu-miR-344		Mus musculus
186	rno-miR-344-3p		Mus musculus
187	rno-miR-344-5p		Mus musculus
188	mmu-miR-345-3p		Mus musculus
189	rno-miR-345-3p		Mus musculus
190	mmu-miR-345-5p		Mus musculus
191	mmu-miR-346		Mus musculus
192	rno-miR-346		Mus musculus
193	rno-miR-347		Mus musculus
194	rno-miR-349		Mus musculus
195	mmu-miR-350		Mus musculus
196	rno-miR-351		Mus musculus
197	mmu-miR-361		Mus musculus
198	mmu-miR-362-3p		Mus musculus
199	mmu-miR-363		Mus musculus
200	mmu-miR-365		Mus musculus
201	mmu-miR-367		Mus musculus
202	mmu-miR-369-3p		Mus musculus
203	mmu-miR-369-5p		Mus musculus
204	mmu-miR-370		Mus musculus
205	mmu-miR-375		Mus musculus
206	mmu-miR-376a		Mus musculus
207	mmu-miR-376b		Mus musculus
208	mmu-miR-376c		Mus musculus
209	mmu-miR-377		Mus musculus
210	rno-miR-377		Mus musculus
211	mmu-miR-379		Mus musculus
212	mmu-miR-380-3p		Mus musculus
213	mmu-miR-380-5p		Mus musculus
214	mmu-miR-381		Mus musculus
215	mmu-miR-382		Mus musculus
216	mmu-miR-383		Mus musculus
217	mmu-miR-384-3p		Mus musculus
218	mmu-miR-384-5p		Mus musculus
219	mmu-miR-409-3p		Mus musculus
220	mmu-miR-409-5p		Mus musculus
221	mmu-miR-410		Mus musculus
222	mmu-miR-411		Mus musculus
223	rno-miR-421		Mus musculus
224	mmu-miR-423-5p		Mus musculus
225	mmu-miR-425		Mus musculus
226	mmu-miR-429		Mus musculus
227			Mus musculus
228	mmu-miR-431		Mus musculus
229	mmu-miR-433		Mus musculus
230	mmu-miR-434-3p		Mus musculus
231	mmu-miR-434-5p		Mus musculus
232	mmu-miR-448		Mus musculus
233	mmu-miR-449a		Mus musculus
234	mmu-miR-449b		Mus musculus
235	mmu-miR-450a-5p		Mus musculus
236	mmu-miR-450b-5p		Mus musculus
237	mmu-miR-451		Mus musculus
238	mmu-miR-453		Mus musculus
239	mmu-miR-455		Mus musculus
240	mmu-miR-465a-3p		Mus musculus
241	mmu-miR-465a-5p		Mus musculus
242	mmu-miR-465b-5p		Mus musculus
243	rno-miR-466b		Mus musculus
244	rno-miR-466c		Mus musculus
245	mmu-miR-466h		Mus musculus
246	mmu-miR-467a		Mus musculus
247	mmu-miR-467c		Mus musculus
248	mmu-miR-467d		Mus musculus
249	mmu-miR-467e		Mus musculus
250	mmu-miR-470		Mus musculus
251	mmu-miR-484		Mus musculus
252	mmu-miR-486		Mus musculus
253	mmu-miR-487b		Mus musculus
254	mmu-miR-489		Mus musculus
255	mmu-miR-491		Mus musculus
256	mmu-miR-493		Mus musculus
257	mmu-miR-494		Mus musculus
258	mmu-miR-495		Mus musculus
259	mmu-miR-497		Mus musculus
260	mmu-miR-499		Mus musculus
261	mmu-miR-500		Mus musculus
262	mmu-miR-501-3p		Mus musculus
263	mmu-miR-503		Mus musculus
264	mmu-miR-504		Mus musculus
265	mmu-miR-505		Mus musculus
266	mmu-miR-509-3p		Mus musculus
267	mmu-miR-509-5p		Mus musculus
268	mmu-miR-511		Mus musculus
269	mmu-miR-532-3p		Mus musculus
270	mmu-miR-532-5p		Mus musculus
271	rno-miR-532-5p		Mus musculus
272	mmu-miR-539		Mus musculus
273	mmu-miR-540-3p		Mus musculus
274	mmu-miR-540-5p		Mus musculus
275	ath-miR159a		Mus musculus
276	mmu-miR-542-3p		Mus musculus
277	mmu-miR-542-5p		Mus musculus
278	mmu-miR-543		Mus musculus
279	rno-miR-543		Mus musculus
280	mmu-miR-544		Mus musculus
