ID	miRNA_ID	SPOT_ID
A1	hsa-miR-379	
A10	hsa-miR-218	
A11	hsa-miR-136	
A12	hsa-miR-127-5p	
A13	hsa-miR-140-5p	
A14	hsa-miR-31*	
A15	hsa-miR-20b*	
A16	hsa-miR-325	
A17	hsa-miR-509-3-5p	
A18	hsa-miR-210	
A19	hsa-miR-199b-5p	
A2	hsa-miR-217	
A20	hsa-miR-194	
A21	hsa-let-7g	
A22	hsa-miR-203	
A23	hsa-miR-181a*	
A24	hsa-miR-934	
A3	hsa-miR-337-5p	
A4	hsa-miR-328	
A5	hsa-miR-374b*	
A6	hsa-miR-143	
A7	hsa-miR-623	
A8	hsa-miR-520c-3p	
A9	hsa-miR-557	
B1	hsa-miR-551b	
B10	hsa-miR-224	
B11	hsa-miR-487b	
B12	hsa-miR-130a	
B13	hsa-miR-138	
B14	hsa-miR-26a-2*	
B15	hsa-miR-378	
B16	hsa-miR-381	
B17	hsa-miR-671-5p	
B18	hsa-miR-521	
B19	hsa-miR-221	
B2		UniSp6 CP
B20	hsa-miR-142-5p	
B21	hsa-miR-132	
B22	hsa-miR-424	
B24	hsa-miR-374a	
B3	hsa-miR-524-3p	
B4	hsa-miR-7	
B5	hsa-miR-486-5p	
B6	hsa-miR-30c	
B7	hsa-miR-301b	
B8	hsa-miR-128	
B9	hsa-miR-329	
C1	hsa-miR-532-5p	
C10	hsa-miR-24	
C11	hsa-miR-369-5p	
C12	hsa-miR-425	
C13	hsa-miR-590-5p	
C14	hsa-miR-760	
C15	hsa-miR-574-3p	
C16	hsa-miR-130b	
C17	hsa-let-7e	
C18	hsa-miR-133b	
C19	hsa-miR-542-5p	
C2	hsa-miR-99a	
C20	hsa-miR-23a	
C21	hsa-miR-193b	
C23	hsa-miR-518c*	
C24	hsa-miR-204	
C3	hsa-miR-92a-1*	
C4	hsa-miR-125b	
C5	hsa-miR-185	
C6	hsa-miR-25	
C7	hsa-miR-524-5p	
C8	hsa-miR-20a	
C9	hsa-miR-765	
D1	hsa-miR-933	
D10	hsa-miR-30c-2*	
D11	hsa-miR-331-3p	
D12	hsa-miR-340	
D13	hsa-miR-196a	
D14	hsa-miR-888	
D15	hsa-miR-330-3p	
D16	hsa-miR-570	
D17	hsa-miR-518c	
D18	hsa-miR-200a	
D19	hsa-miR-188-5p	
D2		SNORD49A
D20	hsa-miR-26a	
D21	hsa-miR-99b	
D22	hsa-miR-431	
D23	hsa-miR-23b	
D24	hsa-miR-367	
D3	hsa-miR-452	
D4	hsa-miR-215	
D5	hsa-miR-141	
D6	hsa-miR-374b	
D7	hsa-miR-668	
D8	hsa-miR-33a	
D9	hsa-miR-101	
E1	hsa-miR-505	
