Transcript ID	Gene Symbol	Organism
NM_001046113	MEF2C	Bos taurus
NM_001092414	MEF2C	Xenopus laevis
XM_001231661	MEF2C	Gallus gallus
XM_574821	MEF2C	Rattus norvegicus
XM_001056692	MEF2C	Rattus norvegicus
XM_001504623	MEF2C	Equus caballus
NM_001044540	MEF2C	Sus scrofa
NM_001131005	MEF2C	Homo sapiens
NM_002397	MEF2C	Homo sapiens
NM_001159277	MEF2C	Ovis aries
XM_001087357	MEF2C	Macaca mulatta
XM_001087470	MEF2C	Macaca mulatta
XM_001086773	MEF2C	Macaca mulatta
XM_001087961	MEF2C	Macaca mulatta
XM_001086062	MEF2C	Macaca mulatta
XM_001086651	MEF2C	Macaca mulatta
XM_001087719	MEF2C	Macaca mulatta
XM_001087124	MEF2C	Macaca mulatta
XM_001087589	MEF2C	Macaca mulatta
XM_001087836	MEF2C	Macaca mulatta
XM_001087240	MEF2C	Macaca mulatta
XM_001086998	MEF2C	Macaca mulatta
XM_001086519	MEF2C	Macaca mulatta
XM_001086895	MEF2C	Macaca mulatta
XM_001086412	MEF2C	Macaca mulatta
XM_852862	MEF2C	Canis lupus
XM_853660	MEF2C	Canis lupus
XM_853190	MEF2C	Canis lupus
XM_853032	MEF2C	Canis lupus
XM_852667	MEF2C	Canis lupus
XM_853270	MEF2C	Canis lupus
XM_852781	MEF2C	Canis lupus
XM_853382	MEF2C	Canis lupus
XM_852707	MEF2C	Canis lupus
XM_852624	MEF2C	Canis lupus
XM_853623	MEF2C	Canis lupus
XM_852819	MEF2C	Canis lupus
XM_844356	MEF2C	Canis lupus
XM_852946	MEF2C	Canis lupus
XM_536299	MEF2C	Canis lupus
XM_852742	MEF2C	Canis lupus
XM_853418	MEF2C	Canis lupus
XM_853453	MEF2C	Canis lupus
XM_852990	MEF2C	Canis lupus
XM_853539	MEF2C	Canis lupus
XM_853229	MEF2C	Canis lupus
XM_853579	MEF2C	Canis lupus
XM_852905	MEF2C	Canis lupus
XM_853309	MEF2C	Canis lupus
XM_853734	MEF2C	Canis lupus
XM_853107	MEF2C	Canis lupus
XM_853070	MEF2C	Canis lupus
XM_853153	MEF2C	Canis lupus
XM_852582	MEF2C	Canis lupus
XM_853348	MEF2C	Canis lupus
NM_001170537	MEF2C	Mus musculus
NM_025282	MEF2C	Mus musculus
XM_001143363	MEF2C	Pan troglodytes
XM_001142588	MEF2C	Pan troglodytes
XM_001143654	MEF2C	Pan troglodytes
XM_001142451	MEF2C	Pan troglodytes
XM_001142658	MEF2C	Pan troglodytes
XM_001142978	MEF2C	Pan troglodytes
XM_001142829	MEF2C	Pan troglodytes
XM_001143133	MEF2C	Pan troglodytes
XM_001143507	MEF2C	Pan troglodytes
XM_001142905	MEF2C	Pan troglodytes
XM_001143216	MEF2C	Pan troglodytes
XM_001143585	MEF2C	Pan troglodytes
XM_001143433	MEF2C	Pan troglodytes
XM_001142745	MEF2C	Pan troglodytes
XM_517661	MEF2C	Pan troglodytes
XM_001142121	MEF2C	Pan troglodytes
XM_001143052	MEF2C	Pan troglodytes
NM_001134197	MEF2C	Pongo abelii
NM_001112916	MEF2C	Xenopus (Silurana) tropicalis
XM_001232913	ALDH8A1	Gallus gallus
XM_419732	ALDH8A1	Gallus gallus
XM_001170069	ALDH8A1	Pan troglodytes
XM_001170111	ALDH8A1	Pan troglodytes
NM_001130286	ALDH8A1	Xenopus (Silurana) tropicalis
NM_022568	ALDH8A1	Homo sapiens
NM_170771	ALDH8A1	Homo sapiens
NM_178713	ALDH8A1	Mus musculus
NM_001075626	ALDH8A1	Bos taurus
NM_001004540	ALDH8A1	Danio rerio
XM_001065122	ALDH8A1	Rattus norvegicus
XM_001061872	ALDH8A1	Rattus norvegicus
XM_001061932	ALDH8A1	Rattus norvegicus
XM_001504382	ALDH8A1	Equus caballus
XM_001504384	ALDH8A1	Equus caballus
XM_854926	ALDH8A1	Canis lupus
XM_533415	ALDH8A1	Canis lupus
NM_001131294	MEF2A	Pongo abelii
NM_001099698	MEF2A	Sus scrofa
NM_001097421	MEF2A	Sus scrofa
NM_001083638	MEF2A	Bos taurus
NM_001014035	MEF2A	Rattus norvegicus
