TranscriptID	S57023	S57024
NM_001011874	0	0.0093
NM_001195662	0.0384	0.051
NM_011283	0.0113	0.038
NM_011441	3.8543	2.6862
NR_033530	0.2669	0.1886
NM_001177658	6.8643	7.0113
NM_025300	1.9108	3.3066
NM_008866	203.7604	177.0379
NM_001159751	1.5868	0.4365
NM_001159750	6.6848	5.6169
NM_011541	32.3968	34.2993
NM_021374	0.0466	0.0613
NM_001177795	0	0
NM_133826	65.7519	72.136
NM_011011	0	0
NM_001204371	0	0
NM_010342	0	0
NM_009826	10.5021	12.6582
NM_001195732	0.0294	0
NM_001244693	0.0001	0
NM_001244692	0	0
NM_173868	0.004	0
NR_045189	0.0003	0
NR_045188	0	0
NM_183028	22.8696	23.3141
NM_027671	0.0542	0.0485
NM_021511	14.6154	13.2319
NR_027664	20.0487	17.4426
NM_175236	67.3847	62.9425
NR_015470	1.4393	0.7349
NM_178399	0.0871	0.0319
NM_008651	0.1772	0.314
NM_173443	6.2029	7.6243
NR_040462	0.8845	0.9394
NM_177547	2.6077	1.4656
NM_133220	1.9902	2.0685
NM_001037759	1.0729	1.5034
NM_177722	0.1981	0.1592
NR_024067	6.4491	8.4892
NR_004410	0	0
NM_145692	0.2153	0.2889
NM_027033	0	0
NM_013715	56.9945	54.2691
NM_026493	9.4715	8.2778
NM_001102430	28.6034	31.8679
NM_177834	0.0131	0
NM_029525	0.3799	2.4115
NM_001033636	2.2377	0.5777
NM_001160371	0	0
NM_177173	0.006	0
NM_001160369	0.0031	0
NM_001160370	0	0.0099
NR_045297	0.1771	0.1825
NM_172294	0.658	0.4706
NM_001198566	0.0597	0.0147
NM_001198565	0.0334	0.4322
NM_172841	0.003	0.004
NM_001081209	0	0
NM_008678	6.9029	8.6436
NM_001077695	4.3871	3.4198
NM_028173	46.6835	42.8344
NM_145381	369.0005	361.1643
NM_001011873	0.1835	0.2638
NR_004447	0.1049	0.0822
NM_010164	0.0002	0.0003
NM_001252192	0.0417	0.064
NM_010827	0.0147	0
NM_177781	0	0
NM_001098528	0.0143	0.0064
NM_009352	5.6566	6.3267
NM_001033288	0.7531	0.9615
NM_001243238	0	0.1417
NM_011291	390.3801	417.3651
NM_133832	30.6706	28.8554
NM_025303	3.8939	3.8259
NM_001111272	3.2484	3.1134
NM_001271016	0.2363	0.2277
NM_001271017	1.3983	0.8577
NM_025773	13.1297	12.8494
NR_073122	0.2633	0.4004
NM_026456	39.7996	41.3218
NR_037998	0	0
NM_027415	34.7187	40.719
NM_026392	6.2441	2.9649
NM_001159711	0	0
NM_016923	5.3155	5.449
NM_020604	0.252	0.2748
NM_010267	0.0064	0.0086
NM_053191	0.3133	0.4284
NM_031402	0.5296	0.7191
NM_030033	0	0
NR_002879	0	0
NM_001039123	0	0
NM_183124	0	0
NM_001040027	0	0
NM_153154	0	0
NM_009334	3.7243	4.7141
NM_001025305	7.1851	4.2184
NM_153179	17.1284	20.1669
NR_045734	0.0359	0.0971
NR_029593	0	0
NR_029902	0	0
NM_010552	0	0
NM_145856	0.4296	0.2018
NM_008563	1.9589	2.1597
NR_040492	0	0.0907
NM_028829	0.4911	0.4215
NM_027974	0.32	0.3529
NM_177409	3.8674	2.3882
NM_029398	4.1988	4.9044
NM_010356	61.7246	57.324
NM_001077353	6.4648	10.3012
NR_002858	3.8912	5.7538
NM_183322	0	0.0174
NM_001033904	0	0
NM_001113187	0	0
NM_023872	0.0214	0.0451
NM_001160139	0.0041	0.0087
NM_183018	0	0
NM_001012625	0	0
NM_053270	0	0
NM_001012624	0	0
NM_001012623	0	0
NM_025746	0	0
NR_029533	0	0
NR_029717	0	0
NM_001081079	3.7044	3.7132
NM_172124	22.4805	22.8914
NM_028534	34.6322	31.144
NM_026503	26.5625	29.3539
NM_026604	6.4354	7.4903
NM_007740	0.013	0
NM_007733	0.5162	0.598
NM_026719	19.9911	20.9072
NM_175642	0.0274	0.0552
NM_001204913	0.0001	0.0231
NM_001033764	0	0
NM_001013750	0	0
NM_001081080	11.7762	11.8632
NM_011200	3.9781	4.08
NR_002688	19.8277	19.5246
NR_033445	0	0
NM_153601	0	0
NM_029062	0	0
NR_015347	0	0
NM_133235	0.13	0.0499
NM_001199956	0	0
NM_001164286	0	0
NM_008922	2.3062	1.9062
NR_033199	0.4542	0.381
NM_001159729	2.9417	0.9824
NM_008999	2.9286	4.0916
NM_145392	8.2458	7.8386
NM_133817	4.1487	4.1484
NM_001161816	0	0.0129
NM_177235	0.1321	0.0887
NM_133833	24.3083	19.096
NM_134448	0.2332	1.3357
NR_039562	0	0
NM_027159	6.8387	8.0463
NM_178601	16.8104	18.0138
NM_011206	6.5622	5.4482
NM_009355	0	0
NM_007685	0	0
NM_009356	0	0
NM_213727	0	0
NR_033627	0	0
NM_183019	0.5022	0.362
NM_174997	23.8913	20.9397
NM_001160236	3.8887	4.69
NM_001160235	0.8425	0.4153
NM_145516	114.8177	111.5295
NM_175421	0.1781	0.4456
NM_015818	47.4088	44.7399
NM_198899	9.7721	9.3191
NM_153408	2.4604	2.3343
NR_033310	0.3317	0.0977
NM_145996	0.0041	0
NM_001172206	0	0.1531
NM_001172205	0.1851	0.1377
NM_172652	30.001	25.3744
NM_001013374	23.185	23.9628
NM_033570	4.824	4.7619
NM_053186	5.9634	5.6731
NM_001039551	0.397	0.4096
NM_153502	1.9762	1.6295
NM_026241	2.699	3.1484
NM_001126047	3.2965	2.8399
NM_001126046	0	0
NM_201365	0	0
NM_027957	0.0558	0
NM_009942	434.8585	476.2564
NM_146107	56.4911	53.8848
NR_040290	0.0448	0.0601
NM_009539	0.1737	0.1088
NM_018872	16.1573	14.759
NM_009918	0	0
NM_172971	0.1741	0.0624
NM_030266	2.535	1.3726
NM_198006	41.4921	40.8851
NM_026123	22.7536	22.9104
NM_173870	3.3453	3.2318
NR_024017	0	0
NM_028096	0.2951	0.233
NM_207228	2.2796	2.1122
NM_001037918	4.5932	3.9646
NM_026913	6.058	5.788
NM_027098	68.7017	78.189
NM_001033427	0.0197	0
NM_027111	0	0
NM_172054	12.3115	12.8757
NM_198303	12.768	12.6894
NM_019570	5.4331	5.2498
NM_010678	0.4325	0.3213
NM_001029878	0.0696	0.0801
NM_145142	0.0971	0.0326
NM_001011684	0	0
NM_026850	21.806	22.3972
NM_008719	0.6507	0.4538
NM_001252218	1.4558	2.3272
NM_001252219	3.0172	4.4534
NM_053257	175.398	175.6966
NM_018775	1.424	1.2163
NM_028043	18.1933	16.9155
NR_028555	0	0
NM_001033135	27.6155	28.5237
NM_170597	0.0709	0.0881
NM_001145660	0.0505	0
NM_001177348	0	0
NR_040465	0	0
NM_001252202	1.4663	1.445
NM_008696	1.553	0.5838
NM_001252201	5.7348	5.0621
NM_001252200	0.3144	0.215
NR_037980	0.1471	0
NM_010555	0.0188	0.0504
NM_008362	2.009	0.2177
NM_001123382	0.256	1.7088
NM_133193	0.44	0.3995
NM_010743	0	0.016
NM_001025602	0.1841	0.1375
NM_001161843	0.2267	0.156
NM_001161842	0.0607	0
NM_008365	0.5132	0.3722
NM_010553	0.0814	0.0819
NM_177084	0.6009	0.7977
NM_001033289	16.4015	15.5938
NM_172499	14.805	13.2507
NM_001081198	0.5296	0.7418
NR_040475	0	0
NR_027826	14.7453	15.51
NM_008900	23.5909	21.8676
NR_027891	4.8224	3.9895
NM_023514	26.8388	25.4948
NM_053107	0	0.0088
NM_001013025	18.8671	17.2079
NM_133818	6.1252	5.4284
NM_010212	9.8337	12.5266
NM_010879	8.4673	7.7879
NM_024283	0.739	0.6866
NM_026430	23.5596	27.6515
NM_009418	9.2723	10.1497
NM_001013799	0.0697	0
NM_029368	4.3493	3.9095
NM_023645	6.7331	6.5445
NM_144558	6.3505	5.9571
NM_011729	5.419	4.5447
NM_207281	0	0
NM_028450	1.7131	1.6618
NR_040602	0	0
NM_009930	14.0434	10.7332
NM_007737	3.7809	3.0724
NM_028599	7.1695	7.0549
NM_016917	19.1825	20.9256
NR_037691	0	0
NR_037690	0	0
NM_001160386	0.8072	0.9725
NM_172653	8.7756	8.2824
NM_019790	0.0831	0.213
NR_045151	0	0
NM_138741	11.2931	11.6535
NM_028696	24.0642	24.898
NM_001161817	0.0049	0.2843
NM_010863	3.7089	3.3757
NM_011487	0.1863	0.1818
NM_001205313	0.7765	1.0314
NM_009283	5.208	5.5274
NM_001205314	1.3007	1.7575
NM_001113383	13.5542	11.8904
NM_001081081	64.8307	60.6167
NM_008667	14.2548	12.3907
NR_024590	0.2284	0
NM_001142647	0.4811	0.6188
NM_178081	0	0.0289
NM_133829	6.5609	6.4788
NM_008384	3.514	3.9335
NM_146108	41.5451	47.4908
NM_144953	0.1513	0.1218
NM_010834	0	0
NM_027070	0.0403	0
NM_153556	2.2898	2.8833
NM_145517	14.0273	15.3771
NM_028091	10.1373	9.2289
NM_133728	16.8183	17.3671
NM_001252070	0.0165	0.0065
NM_133810	2.5331	3.2654
NM_172655	0.0817	0.0545
NM_001001883	1.2492	1.3459
NM_030025	0.2652	0.1869
NM_001033194	6.9961	7.2595
NM_001163314	2.7125	3.231
NM_001081433	5.8656	5.0535
NM_031179	34.7391	35.132
NM_026424	0.44	1.6998
NM_001039710	40.7684	41.8011
NM_010477	309.6539	356.4005
NM_008303	162.9633	218.7238
NM_025283	21.3432	19.2409
NM_028713	0.7004	0.9862
NM_175439	3.678	4.0902
NM_001113367	0	0
NM_029267	0.0245	0.1313
NM_001114663	4.563	5.0285
NR_045837	0.0265	0
NM_027661	0	0
NM_139146	6.0493	3.7488
NR_024325	1.1842	0.6552
NR_024326	0.8821	0.8723
NR_037990	0	0
NR_037999	0	0
NM_028546	5.7073	5.0467
NR_004860	3.4644	4.1641
NM_001114102	0.1454	0
NM_001037742	1.6213	1.8429
NM_001081181	19.958	18.8353
NM_144882	6.2777	4.1195
NM_001164566	2.0091	1.2111
NR_027630	0.6257	0.6072
NM_001159865	0.1211	0
NM_001159864	1.6816	2.002
NM_199007	0	0
NM_001177867	0.0818	0.0549
NM_009676	0.3916	0.3324
NM_023617	0.4862	0.2875
NM_023631	0.0203	0.0204
NM_001008419	0.0106	0.0071
NM_025824	63.5095	63.4311
NM_001042634	26.616	32.6435
NR_027854	14.9018	12.3261
NR_027853	4.1041	0.0153
NM_027351	9.9089	11.0379
NM_027374	2.0637	2.3001
NM_022988	9.9826	9.6828
NM_008765	5.6888	6.9972
NM_001271526	0.8058	0.4613
NM_001025378	2.5224	1.1068
NM_172513	5.4946	8.3568
NM_025597	134.9195	149.7576
NR_045007	1.2424	1.1277
NM_175370	1.0729	1.1177
NM_009805	13.6972	11.5167
NM_207653	19.9322	18.5149
NM_009812	9.6175	7.0695
NM_001080126	5.5664	7.4634
NM_172406	45.8614	39.3945
NM_172656	25.2054	26.4031
NM_175200	0.0355	0.0318
NM_001033449	3.2642	2.7371
NM_001037812	25.8667	18.8797
NM_145143	1.4422	0.7511
NM_001164682	0	0
NM_028717	13.4355	11.3967
NM_001159948	0.1878	0.2357
NM_146109	1.1467	0.9098
NM_001033373	0.0342	0
NM_008057	4.0095	4.0305
NM_001013771	0.0632	0.0848
NM_009460	60.3014	66.3256
NM_018868	12.6191	12.1369
NR_028554	0	0
NR_028521	0	0
NM_007561	1.0939	8.1231
NM_001037725	10.6307	10.4425
NM_027407	0.0761	0.0557
NM_001199060	1.1106	1.4768
NM_001199061	0.8813	0.1334
NM_021312	2.9067	3.9266
NM_139150	1.0855	1.6
NM_173444	0.6837	3.069
NM_030013	11.0133	11.893
NM_001198570	0.0001	0.1377
NM_001198571	0.0031	0.0017
NM_198127	5.3876	5.0296
NM_001045513	2.8264	2.7531
NM_007642	0.0994	0.0706
NM_009843	0.0261	0.0175
NM_017480	0.0776	0.1353
NR_040483	0.0284	0
NM_001081050	2.5189	1.9539
NM_010939	0.6623	0.1266
NM_001077404	1.8539	1.1817
NM_001077405	0.3476	0.7782
NM_001077406	0.3119	0.275
NM_001077407	0.5921	0.5221
NM_001077403	1.3024	1.5766
NR_040601	0.0282	0.0378
NM_001114609	1.2147	2.1524
NM_001081436	2.1239	1
NR_045914	1.6079	1.1644
NR_045915	0	0.1171
NM_001160040	29.0402	30.5812
NM_001160039	23.1623	23.263
NM_001160038	7.9579	10.055
NM_145518	74.2035	78.7302
NM_018796	91.2123	93.2974
NR_028558	0	0
NM_146250	0	0
NM_028673	0.0044	0.0067
NM_001267872	0.0097	0.0148
NM_011780	0.0914	0.036
NM_001177600	0	0.0817
NM_001081658	0	0
NM_029696	0.118	0.1782
NM_172422	10.174	11.4674
NM_001256158	0.1868	0.1929
NR_027824	0.0176	0.0946
NM_033563	2.1	2.0568
NM_009952	0.7734	0.9339
NM_133828	3.6338	3.5664
NM_001037726	0.8147	0.6427
NM_025964	3.5027	2.8588
NR_038009	1.9468	1.6628
NM_001097644	8.0072	7.0758
NM_001042659	0.5439	1.9502
NM_022721	2.5892	1.2205
NM_001039493	1.5417	1.179
NM_027582	0	0
NM_007777	0	0
NM_007776	0	0
NM_007775	0	0
NM_001082573	0	0
NM_144761	0	0
NM_007774	0.8618	1.1016
NM_175293	19.5817	19.221
NM_001111320	6.2587	8.158
NM_010497	238.0527	264.8157
NM_011086	3.8979	4.7824
NM_139270	0.0209	0
NM_027010	0	0
NM_008632	0.211	0.0002
NM_001039934	1.7814	1.8224
NM_175510	0.0056	0
NM_025683	16.8159	16.8159
NM_177645	12.1071	10.5398
NM_001122738	10.765	9.2954
NM_007381	178.3122	197.3128
NM_001113387	0.0309	0
NM_021285	0	0
NM_001190985	4.6513	4.5002
NM_001190984	0.0046	0.1179
NM_021295	2.3962	2.2935
NM_001080809	0.0054	0.0648
NM_010154	0.2253	1.7665
NM_011770	0.5548	0.4068
NM_029160	0	0
NM_025728	0	0
NM_001271533	0.0352	0.0094
NM_177164	0	0
NM_007525	0.1436	0.0684
NM_175210	0	0
NM_026195	12.7302	14.0632
NM_010233	5.848	6.5979
NR_040308	0	0
NR_027658	0	0
NR_027659	0	0.0485
NR_040454	0	0
NM_001005423	1.4384	1.2643
NM_023523	394.2257	433.2694
NM_175564	8.8401	9.6507
NM_009533	23.1942	23.0463
NM_001045533	0	0
NM_018817	3.642	4.0507
NM_176980	0	0
NM_009084	260.4075	286.0257
NM_008342	2.986	0.7658
NM_010518	157.0807	150.9621
NM_009407	0	0
NR_038002	0	0
NR_038001	0	0
NR_003202	0	0
NR_040605	0	0
NR_045311	0	0.0188
NM_027884	194.7939	183.7829
NM_001034060	0	0.041
NM_001170641	2.366	1.6416
