MODIFIER_PATH	MODIFIER_CD	NAME_CHAR	VALTYPE_CD	STD_UNITS	VISIT_IND
\Interventions\Treatment\Fluorouracil-Epirubicin-Cyclophosphamide Regimen\	C:CEFREGIMINE	Fluorouracil-Epirubicin-Cyclophosphamide Regimen	T		N
\Findings\Tumor Findings\Immunohistochemistry\Estrogen Receptor Status\	C:ERSTATUS	Estrogen Receptor Status	T		N
\Findings\Tumor Findings\Immunohistochemistry\Estrogen Receptor Status\Postive\	C:ERSTATUS-G-A200	Positive	T		N
\Findings\Tumor Findings\Immunohistochemistry\Estrogen Receptor Status\Negative\	C:ERSTATUS-R-40759	Negative	T		N
\Findings\Findings About Events or Interventions\	C:FINDINGSABOUTINTERVENTIONS	Findings About Events or Interventions	T		N
\Findings\Tumor Findings\Genotyping\	C:GENOTYPING	Genotyping	T		N
\Findings\Tumor Findings\Genotyping\PG3\	C:GENOTYPINGP53	P53	T		N
\Findings\Tumor Findings\Genotyping\PG3\Mutant\	C:GENOTYPINGP53-M	Mutant	T		N
\Findings\Tumor Findings\Genotyping\PG3\Wild Type\	C:GENOTYPINGP53-WT	Wild Type	T		N
\Findings\Tumor Findings\Immunohistochemistry\Her2 Status\	C:HER2STATUS	Her2 Status	T		N
\Findings\Tumor Findings\Immunohistochemistry\Her2 Status\Positive\	C:HER2STATUS-G-A200	Positive	T		N
\Findings\Tumor Findings\Immunohistochemistry\Her2 Status\Negative\	C:HER2STATUS-R-40759	Negative	T		N
\Interventions\Treatment\Lapatinib and Foretinib\	C:L01XE07ANDGSK1363089G	Lapatinib-Foretinib	T		N
\Findings\Tumor Findings\Molecular Subtype\	C:MOLECULARSUBTYPE	Molecular Subtype	T		N
\Findings\Tumor Findings\Molecular Subtype\Basal\	C:MOLECULARSUBTYPE-Basal	Basal			N
\Findings\Tumor Findings\Molecular Subtype\Her2 positive\	C:MOLECULARSUBTYPE-Her2positive	Her2 positive			N
\Findings\Tumor Findings\Molecular Subtype\Luminal A\	C:MOLECULARSUBTYPE-LuminalA	Luminal A			N
\Findings\Tumor Findings\Molecular Subtype\Luminal B\	C:MOLECULARSUBTYPE-LuminalB	Luminal B			N
\Findings\Tumor Findings\Molecular Subtype\Normal\	C:MOLECULARSUBTYPE-Normal	Normal			N
\Events\Medical History\Diagnosis\Normal Breast\	C:NORMALBREAST	Normal Breast	T		N
\Interventions\Treatment\Pre-Neoadjuvant Systemic Therapy (NOS)\	C:PNST-NOS	Pre-Neoadjuvant Systemic Therapy (NOS)	T		N
\Findings\Tumor Findings\Immunohistochemistry\Progesterone Receptor Status\	C:PRSTATUS	Progesterone Receptor Status	T		N
\Findings\Tumor Findings\Immunohistochemistry\Progesterone Receptor Status\Postive\	C:PRSTATUS-G-A200	Positive	T		N
\Findings\Tumor Findings\Immunohistochemistry\Progesterone Receptor Status\Negative\	C:PRSTATUS-R-40759	Negative	T		N
\Events\Adverse Events\	CADVERSEEVENTS	Adverse Events	T		N
\Demographics\	CDEMO	Demographics	T		N
\Events\Medical History\Diagnosis\	CDIAGNOSIS	Diagnosis	T		N
\Events\	CEVENTS	Events	T		N
\Findings\Tumor Findings\Histology\	CHISTOLOGY	Histology	T		N
\Findings\Tumor Findings\Immunohistochemistry\	CIMMUNOHISTOCHEMISTRY	Immunohistochemistry	T		N
\Interventions\	CINTERVENTIONS	Interventions	T		N
\Findings\Laboratory Tests\	CLABORATORYTESTS	Laboratory Tests	T		N
\Events\Medical History\	CMEDICALHISTORY	Medical History	T		N
\Findings\Laboratory Tests\Pulmonary Function\	CPULMONARYFUNCTION	Pulmonary Function	T		N
\Interventions\Substance Use\	CSUBSTANCEUSE	Substance Use	T		N
\Findings\Tumor Findings\TNM Category\	CTNMCATEGORY	TNM Category	T		N
\Interventions\Substance Use\Tobacco Smoking Behavior\	CTOBACCOSMKBHVR	Tobacco Smoking Behavior	T		N
\Interventions\Substance Use\Tobacco Use and Exposure\	CTOBACCOUSEEXPOSURE	Tobacco Use and Exposure	T		N
\Interventions\Treatment\	CTREATMENT	Treatment	T		N
\Trial Arms\	CTRIALARMS	Trial Arms	T		N
\Findings\Tumor Findings\	CTUMORFINDINGS	Tumor Findings	T		N
\Trial Arms\GSE31773\	GSE31773	GSE31773	T		N
\Trial Arms\GSE31773\Healthy Control\	GSE31773:CONTROL	Healthy Control	T		N
\Trial Arms\GSE31773\Non Severe Asthma\	GSE31773:NONSEVEREASTHMA	Non Severe Asthma	T		N
\Trial Arms\GSE31773\Severe Asthma\	GSE31773:SEVEREASTHMA	Severe Asthma	T		N
\Trial Arms\GSE34466\	GSE34466	GSE34466	T		N
\Trial Arms\GSE34466\Healthy Control (Non-Asthmatic)\	GSE34466:CONTROL	Healthy Control (Non-asthmatic)	T		N
\Trial Arms\GSE34466\Post-Steroid Asthma\	GSE34466:POSTSTEROIDASTHMA	Post-Steroid Asthma	T		N
\Trial Arms\GSE34466\Steroid-Naive Asthma (Baseline)\	GSE34466:STEROIDNAIVEASTHMA	Steroid-Naive Asthma (Baseline)	T		N
\Trial Arms\GSE34466\Steroid-Requiring Asthma\	GSE34466:STEROIDREQUIRINGASTHMA	Steroid-Requiring Asthma	T		N
\Trial Arms\GSE37147\	GSE37147	GSE37147	T		N
\Trial Arms\GSE37147\COPD\	GSE37147:COPD	COPD	T		N
\Trial Arms\GSE37147\No COPD\	GSE37147:NOCOPD	No COPD	T		N
\Trial Arms\GSE42057\	GSE42057	GSE42057	T		N
\Trial Arms\GSE42057\COPD\	GSE42057:COPD	COPD	T		N
\Trial Arms\GSE42057\No COPD\	GSE42057:NOCOPD	No COPD	T		N
\Events\Medical History\Diagnosis\Breast Cancer\	ICD9:174.9	Malignant neoplasm of breast (female), unspecified	T		N
