	antigen_name	uniprot	gene_symbol	gene_id
RBM	6Ckine	O00585		1
RBM	Adiponectin	Q15848		2
RBM	Agouti-Related Protein	O00253		3
RBM	Aldose Reductase	P15121		3
RBM	Alpha-1-acid glycoprotein 1	P02763 		3
RBM	Alpha-1-Antichymotrypsin	P01011		3
RBM	Alpha-1-Antitrypsin	P01009		3
RBM	Alpha-1-Microglobulin	P02760		3
RBM	Alpha-2-Macroglobulin	P01023		3
RBM	Alpha-Fetoprotein	P02771		3
RBM	Amphiregulin	P15514		3
RBM	Angiogenin	P03950		3
RBM	Angiopoietin-1	Q15389		3
RBM	Angiopoietin-2	O15123		3
RBM	Angiopoietin-related protein 3	Q9Y5C1		3
RBM	Angiotensin-Converting Enzyme	P12821		3
RBM	Angiotensinogen	P01019		3
RBM	Antileukoproteinase	P03973		3
RBM	Antithrombin-III	P01008		3
RBM	Apolipoprotein A-I	P02647		3
RBM	Apolipoprotein A-II	P02652		3
RBM	Apolipoprotein A-IV	P06727		3
RBM	Apolipoprotein B	P04114		3
RBM	Apolipoprotein C-I	P02654		3
RBM	Apolipoprotein C-III	P02656		3
RBM	Apolipoprotein D	P05090 		3
RBM	Apolipoprotein E	P02649 		3
RBM	Apolipoprotein H	P02749		3
RBM	Apolipoprotein(a)	P08519		3
RBM	AXL Receptor Tyrosine Kinase	P30530		3
RBM	B cell-activating factor	Q9Y275		3
RBM	B Lymphocyte Chemoattractant	O43927		3
RBM	Beta-2-Microglobulin	P61769		3
RBM	Betacellulin	P35070 		3
RBM	Beta-microseminoprotein	P08118		3
RBM	Brain-Derived Neurotrophic Factor	P23560		3
RBM	Cadherin-1	P12830		3
RBM	Cadherin-13	P55290		3
RBM	Calbindin	P05937		3
RBM	Cancer Antigen 125	Q8WXI7		3
RBM	Cancer Antigen 15-3			3
RBM	Cancer Antigen 19-9	Q9BXJ9		3
RBM	Cancer Antigen 72-4			3
RBM	Carbonic anhydrase 9	Q16790		3
RBM	Carcinoembryonic Antigen	P06731		3
RBM	Carcinoembryonic antigen-related cell adhesion molecule 1	P13688		3
RBM	Carcinoembryonic antigen-related cell adhesion molecule 6	P40199		3
RBM	Cartilage Oligomeric Matrix Protein	P49747		3
RBM	Cathepsin B (pro)	P07858		3
RBM	Cathepsin D	P07339		3
RBM	CD 40 antigen	Q6P2H9		3
RBM	CD163	Q86VB7		3
RBM	CD40 Ligand	P29965		3
RBM	CD5 Antigen-like	O43866		3
RBM	Cellular Fibronectin	P02751		3
RBM	Chemerin	Q99969		3
RBM	Chemokine CC-4	O15467		3
RBM	Chromogranin-A	P10645		3
RBM	Ciliary Neurotrophic Factor	P26441		3
RBM	Clusterin	P10909		3
RBM	Collagen IV	P02462, P08572, Q01955, P53420, P29400, Q14031		3
RBM	Complement C3	P01024		3
RBM	Complement component C1q receptor	Q9NPY3		3
RBM	Complement Factor H – Related Protein 1	Q03591		3
RBM	Cortisol	HMDB00063		3
RBM	C-Peptide	P01308		3
RBM	C-Reactive Protein	P02741		3
RBM	Creatine Kinase-MB	P12277, P06732		3
RBM	Cystatin-A	P01040		3
RBM	Cystatin-B	P04080		3
RBM	Cystatin-C	P01034		3
RBM	Decorin	P07585		3
RBM	Dickkopf-related protein 1	O94907		3
RBM	Dipeptidyl peptidase IV	P27487		3
RBM	Endoglin	P17813		3
RBM	Endostatin	P39060		3
RBM	EN-RAGE	P80511		3
RBM	Eotaxin-1	P51671		3
RBM	Eotaxin-2	O00175		3
RBM	Eotaxin-3	Q9Y258		3
RBM	Epidermal Growth Factor	P01133		3
RBM	Epidermal Growth Factor Receptor	P00533		3
RBM	Epiregulin	O14944		3
RBM	Epithelial cell adhesion molecule	P16422		3
RBM	Epithelial-Derived Neutrophil-Activating Protein 78	P42830		3
RBM	E-Selectin	P16581		3
RBM	Ezrin	P15311		3
RBM	Factor VII	P08709		3
RBM	Fas Ligand	P48023		3
RBM	FASLG Receptor	P25445		3
RBM	Fatty Acid-Binding Protein, adipocyte	P15090		3
RBM	Fatty Acid-Binding Protein, heart	P05413		3
RBM	Fatty Acid-Binding Protein, liver	P07148		3
RBM	Ferritin	P02794, P02792		3
RBM	Fetuin-A	P02765		3
RBM	Fibrinogen	P02671, P02675, P02679		3
RBM	Fibroblast Growth Factor 4	P08620		3
RBM	Fibroblast Growth Factor basic	P09038		3
RBM	Fibulin-1C	P23142		3
RBM	Ficolin-3	O75636		3
RBM	Follicle-Stimulating Hormone	P01225, P01215		3
RBM	Galectin-3	P17931		3
RBM	Gastric inhibitory polypeptide	P09681		3
RBM	Gelsolin	P06396		3
RBM	Glucagon	P01275		3
RBM	Glucagon-like Peptide 1, active	P01275		3
RBM	Glucagon-like Peptide 1, total	P01275		3
RBM	Glucose-6-phosphate Isomerase	P06744		3
RBM	Glutathione S-Transferase alpha	P08263		3
RBM	Glutathione S-Transferase Mu 1	P09488		3
RBM	Glycogen phosphorylase isoenzyme BB	P11216		3
RBM	Granulocyte Colony-Stimulating Factor	P09919		3
